path,state_at_2026-09-25T12:47+08,action
/Users/rainhuang/Desktop/models/qwen3.5-9b-hauhau-aggressive-mxfp4,present,protected
/Users/rainhuang/Desktop/models/qwen3.8-27b,present,protected
/Users/rainhuang/Desktop/models/image-z-image-turbo-mflux-4bit,present,protected
/Users/rainhuang/Desktop/models/image-flux2-klein-4b-mflux-4bit,present,protected
/Users/rainhuang/Desktop/models/image-flux1-dev-mflux-4bit,present,protected
/Users/rainhuang/Desktop/models/video-nsfw-wan-1.3b-mlx,present,protected
~/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct,present,protected
